code,jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,murder_manslaughter_per_capita_per_one_hundred_thousand,rape_legacy_per_capita_per_one_hundred_thousand,robbery_per_capita_per_one_hundred_thousand,agg_assault_per_capita_per_one_hundred_thousand,burglary_per_capita_per_one_hundred_thousand,larceny_per_capita_per_one_hundred_thousand,vehicle_theft_per_capita_per_one_hundred_thousand,prisoners_per_capita_per_one_hundred_thousand,total_crime,total_crime_per_capita_per_one_hundred_thousand
FED,FEDERAL,FALSE,2001,149852,,,284743737,1430285,15806,90682,0,419777,904020,10401957,2111582,7069954,1220421,5.55,31.85,147.42,317.49,741.57,2482.92,428.6,52.63,11832242,4155.4
AL,ALABAMA,FALSE,2001,24741,FALSE,FALSE,4468912,19582,379,1369,,5584,12250,173253,40642,119992,12619,8.48,30.63,124.95,274.12,909.44,2685.04,282.37,553.62,192835,4315.03
AK,ALASKA,TRUE,2001,4570,FALSE,FALSE,633630,3735,39,501,,514,2681,23160,3847,16695,2618,6.16,79.07,81.12,423.12,607.14,2634.82,413.17,721.24,26895,4244.59
AZ,ARIZONA,FALSE,2001,27710,FALSE,FALSE,5306966,28675,400,1518,,8868,17889,293874,54821,186850,52203,7.54,28.6,167.1,337.09,1033,3520.84,983.67,522.14,322549,6077.84
AR,ARKANSAS,FALSE,2001,11489,FALSE,FALSE,2694698,12190,148,892,,2181,8969,99106,22196,69590,7320,5.49,33.1,80.94,332.84,823.69,2582.48,271.64,426.36,111296,4130.18
CA,CALIFORNIA,FALSE,2001,157142,FALSE,FALSE,34600463,212867,2206,9960,,64614,136087,1134189,232273,697739,204177,6.38,28.79,186.74,393.31,671.3,2016.56,590.1,454.16,1347056,3893.17
CO,COLORADO,FALSE,2001,17278,FALSE,FALSE,4430989,15492,158,1930,,3555,9849,170887,28533,121360,20994,3.57,43.56,80.23,222.28,643.94,2738.89,473.8,389.94,186379,4206.26
CT,CONNECTICUT,TRUE,2001,17507,FALSE,FALSE,3434602,11492,105,639,,4183,6565,95299,17159,65762,12378,3.06,18.6,121.79,191.14,499.59,1914.69,360.39,509.72,106791,3109.27
DE,DELAWARE,TRUE,2001,6841,FALSE,FALSE,796599,4868,23,420,,1156,3269,27399,5144,19476,2779,2.89,52.72,145.12,410.37,645.75,2444.89,348.86,858.78,32267,4050.6
FL,FLORIDA,FALSE,2001,72404,FALSE,FALSE,16373330,130713,874,6641,,32867,90331,782517,176052,516548,89917,5.34,40.56,200.73,551.7,1075.24,3154.81,549.17,442.21,913230,5577.55
GA,GEORGIA,FALSE,2001,45937,FALSE,FALSE,8405677,41671,598,2180,,14402,24491,347872,71799,238484,37589,7.11,25.93,171.34,291.36,854.17,2837.18,447.19,546.5,389543,4634.28
HI,HAWAII,TRUE,2001,5116,FALSE,FALSE,1227024,3117,32,409,,1142,1534,62830,11162,44925,6743,2.61,33.33,93.07,125.02,909.68,3661.3,549.54,416.94,65947,5374.55
ID,IDAHO,FALSE,2001,5270,FALSE,FALSE,1320585,3211,30,425,,245,2511,38181,7507,28285,2389,2.27,32.18,18.55,190.14,568.46,2141.85,180.9,399.07,41392,3134.37
IL,ILLINOIS,FALSE,2001,44348,FALSE,TRUE,12520227,79270,982,4010,,24931,49347,434648,79158,306757,48733,7.84,32.03,199.13,394.14,632.24,2450.09,389.23,354.21,513918,4104.7
IN,INDIANA,FALSE,2001,19646,FALSE,FALSE,6126743,22734,413,1716,,7171,13434,211548,42758,147291,21499,6.74,28.01,117.04,219.27,697.89,2404.07,350.9,320.66,234282,3823.92
IA,IOWA,FALSE,2001,7962,FALSE,FALSE,2931967,7865,50,649,,1154,6012,88634,16885,66244,5505,1.71,22.14,39.36,205.05,575.89,2259.37,187.76,271.56,96499,3291.27
KS,KANSAS,FALSE,2001,8574,FALSE,FALSE,2702125,10909,92,945,,2423,7449,105537,20514,77038,7985,3.4,34.97,89.67,275.67,759.18,2851.02,295.51,317.31,116446,4309.42
KY,KENTUCKY,FALSE,2001,10720,FALSE,TRUE,4068816,10510,181,1051,,3269,6009,107356,26964,71448,8944,4.45,25.83,80.34,147.68,662.7,1755.99,219.82,263.47,117866,2896.81
LA,LOUISIANA,FALSE,2001,19660,FALSE,FALSE,4470368,30678,501,1403,,7864,20910,207693,46451,139555,21687,11.21,31.38,175.91,467.75,1039.09,3121.78,485.13,439.78,238371,5332.25
ME,MAINE,FALSE,2001,1675,FALSE,FALSE,1284470,1435,19,326,,264,826,33154,6898,24585,1671,1.48,25.38,20.55,64.31,537.03,1914.02,130.09,130.4,34589,2692.86
MD,MARYLAND,FALSE,2001,23739,FALSE,FALSE,5386079,42088,446,1449,,13525,26668,219512,41553,145934,32025,8.28,26.9,251.11,495.13,771.49,2709.47,594.59,440.75,261600,4856.97
MA,MASSACHUSETTS,FALSE,2001,10203,FALSE,FALSE,6401164,30585,143,1856,,6476,22110,167079,32430,106821,27828,2.23,28.99,101.17,345.41,506.63,1668.77,434.73,159.39,197664,3087.94
MI,MICHIGAN,FALSE,2001,48849,FALSE,FALSE,10006266,55424,672,5264,,12937,36551,352353,72038,226708,53607,6.72,52.61,129.29,365.28,719.93,2265.66,535.73,488.18,407777,4075.22
MN,MINNESOTA,FALSE,2001,6406,FALSE,FALSE,4984535,13145,119,2236,,3758,7032,165046,25496,124519,15031,2.39,44.86,75.39,141.08,511.5,2498.11,301.55,128.52,178191,3574.88
MS,MISSISSIPPI,FALSE,2001,15131,FALSE,FALSE,2859733,10006,282,1147,,3294,5283,109609,29821,70315,9473,9.86,40.11,115.19,184.74,1042.79,2458.8,331.25,529.11,119615,4182.73
MO,MISSOURI,FALSE,2001,28575,FALSE,FALSE,5637309,30472,372,1383,,7771,20946,238411,42977,167420,28014,6.6,24.53,137.85,371.56,762.37,2969.86,496.94,506.89,268883,4769.7
MT,MONTANA,FALSE,2001,2795,FALSE,FALSE,905382,3187,34,188,,230,2735,30175,3670,24684,1821,3.76,20.76,25.4,302.08,405.35,2726.36,201.13,308.71,33362,3684.85
NE,NEBRASKA,FALSE,2001,3915,FALSE,FALSE,1720039,5214,43,431,,1128,3612,68963,9760,52713,6490,2.5,25.06,65.58,210,567.43,3064.64,377.32,227.61,74177,4312.52
NV,NEVADA,FALSE,2001,9862,FALSE,FALSE,2097722,12359,180,883,,4932,6364,77486,17711,45073,14702,8.58,42.09,235.11,303.38,844.3,2148.66,700.86,470.13,89845,4282.98
NH,NEW HAMPSHIRE,FALSE,2001,2419,FALSE,FALSE,1259359,2144,17,458,,445,1224,27089,4889,20060,2140,1.35,36.37,35.34,97.19,388.21,1592.87,169.93,192.08,29233,2321.26
NJ,NEW JERSEY,FALSE,2001,26052,FALSE,FALSE,8511116,33094,336,1278,,14110,17370,240551,46812,156031,37708,3.95,15.02,165.78,204.09,550.01,1833.26,443.04,306.09,273645,3215.15
NM,NEW MEXICO,FALSE,2001,5668,FALSE,FALSE,1830935,14288,99,850,,2695,10644,83095,19552,56406,7137,5.41,46.42,147.19,581.34,1067.87,3080.72,389.8,309.57,97383,5318.76
NY,NEW YORK,FALSE,2001,67554,FALSE,FALSE,19084350,98022,960,3546,,36555,56961,458003,80400,329316,48287,5.03,18.58,191.54,298.47,421.29,1725.58,253.02,353.98,556025,2913.51
NC,NORTH CAROLINA,FALSE,2001,32203,FALSE,FALSE,8206105,40465,505,2083,,13304,24573,363777,101889,237241,24647,6.15,25.38,162.12,299.45,1241.62,2891.03,300.35,392.43,404242,4926.11
ND,NORTH DAKOTA,FALSE,2001,1088,FALSE,FALSE,636550,505,7,164,,60,274,14834,2165,11583,1086,1.1,25.76,9.43,43.04,340.11,1819.65,170.61,170.92,15339,2409.71
OH,OHIO,FALSE,2001,44868,FALSE,FALSE,11389785,40023,452,4466,,17199,17906,435115,96910,295976,42229,3.97,39.21,151,157.21,850.85,2598.61,370.76,393.93,475138,4171.62
OK,OKLAHOMA,FALSE,2001,21719,FALSE,FALSE,3469577,17726,185,1486,,2746,13309,141679,34573,94537,12569,5.33,42.83,79.15,383.59,996.46,2724.74,362.26,625.98,159405,4594.36
OR,OREGON,FALSE,2001,10950,FALSE,FALSE,3473441,10650,84,1174,,2749,6643,164524,26648,123034,14842,2.42,33.8,79.14,191.25,767.19,3542.14,427.3,315.25,175174,5043.24
PA,PENNSYLVANIA,FALSE,2001,37641,FALSE,FALSE,12303104,50432,651,3467,,17500,28814,313408,54345,223350,35713,5.29,28.18,142.24,234.2,441.72,1815.4,290.28,305.95,363840,2957.3
RI,RHODE ISLAND,TRUE,2001,3364,FALSE,FALSE,1059659,3278,39,416,,986,1837,35742,6824,23875,5043,3.68,39.26,93.05,173.36,643.98,2253.08,475.91,317.46,39020,3682.32
SC,SOUTH CAROLINA,FALSE,2001,21719,FALSE,FALSE,4062125,33114,330,1769,,5987,25028,186054,42611,126742,16701,8.12,43.55,147.39,616.13,1048.98,3120.09,411.14,534.67,219168,5395.4
SD,SOUTH DAKOTA,FALSE,2001,2799,FALSE,FALSE,758324,1171,7,351,,103,710,16473,3087,12571,815,0.92,46.29,13.58,93.63,407.08,1657.73,107.47,369.1,17644,2326.71
TN,TENNESSEE,FALSE,2001,17466,FALSE,FALSE,5749398,42776,423,2196,,10219,29938,252992,59705,165015,28272,7.36,38.2,177.74,520.72,1038.46,2870.13,491.74,303.79,295768,5144.33
TX,TEXAS,FALSE,2001,148480,FALSE,FALSE,21370983,122155,1332,8169,,35348,77306,976654,204362,669625,102667,6.23,38.22,165.4,361.73,956.26,3133.34,480.4,694.77,1098809,5141.59
UT,UTAH,FALSE,2001,4145,FALSE,FALSE,2278712,5314,67,896,,1197,3154,90993,13804,70676,6513,2.94,39.32,52.53,138.41,605.78,3101.58,285.82,181.9,96307,4226.38
VT,VERMONT,TRUE,2001,1400,FALSE,FALSE,612978,644,7,107,,107,423,16334,3150,12426,758,1.14,17.46,17.46,69.01,513.88,2027.15,123.66,228.39,16978,2769.76
VA,VIRGINIA,FALSE,2001,31472,FALSE,FALSE,7196750,20939,364,1770,,6860,11945,207506,31604,157060,18842,5.06,24.59,95.32,165.98,439.14,2182.37,261.81,437.31,228445,3174.28
WA,WASHINGTON,FALSE,2001,15226,FALSE,FALSE,5993390,21258,179,2600,,5934,12545,287234,53024,195133,39077,2.99,43.38,99.01,209.31,884.71,3255.8,652,254.05,308492,5147.2
WV,WEST VIRGINIA,FALSE,2001,3403,FALSE,FALSE,1800975,5035,40,320,,707,3968,41085,9601,28268,3216,2.22,17.77,39.26,220.33,533.1,1569.59,178.57,188.95,46120,2560.84
WI,WISCONSIN,FALSE,2001,20766,FALSE,FALSE,5405947,12486,192,1142,,4444,6708,166924,26927,125275,14722,3.55,21.12,82.21,124.09,498.1,2317.36,272.33,384.13,179410,3318.75
WY,WYOMING,FALSE,2001,1487,FALSE,FALSE,493754,1272,9,153,,84,1026,16120,2481,12943,696,1.82,30.99,17.01,207.8,502.48,2621.35,140.96,301.16,17392,3522.4
FED,FEDERAL,FALSE,2002,158216,,,287404767,1414355,15965,94973,0,416972,886445,10418800,2146082,7035671,1237047,5.55,33.05,145.08,308.43,746.71,2448,430.42,55.05,11833155,4117.24
AL,ALABAMA,FALSE,2002,25100,FALSE,FALSE,4478896,19931,303,1664,,5962,12002,180400,42578,123932,13890,6.77,37.15,133.11,267.97,950.64,2767.02,310.12,560.41,200331,4472.78
AK,ALASKA,TRUE,2002,4351,FALSE,FALSE,641482,3627,33,511,,489,2594,24118,3908,17739,2471,5.14,79.66,76.23,404.38,609.21,2765.32,385.2,678.27,27745,4325.14
AZ,ARIZONA,FALSE,2002,29359,FALSE,FALSE,5441125,30171,387,1608,,8000,20176,318296,59087,201541,57668,7.11,29.55,147.03,370.81,1085.93,3704.03,1059.85,539.58,348467,6404.32
AR,ARKANSAS,FALSE,2002,11849,FALSE,FALSE,2706268,11501,142,754,,2524,8081,101171,23229,71129,6813,5.25,27.86,93.26,298.6,858.34,2628.31,251.75,437.84,112672,4163.37
CA,CALIFORNIA,FALSE,2002,159695,FALSE,FALSE,35001986,208388,2395,10198,,64968,130827,1176484,238428,715692,222364,6.84,29.14,185.61,373.77,681.18,2044.72,635.29,456.25,1384872,3956.55
CO,COLORADO,FALSE,2002,18636,FALSE,FALSE,4501051,15882,179,2066,,3579,10058,180054,31678,125193,23183,3.98,45.9,79.51,223.46,703.79,2781.42,515.06,414.04,195936,4353.12
CT,CONNECTICUT,TRUE,2002,18716,FALSE,FALSE,3458587,10807,84,740,,4069,5914,93426,17111,64735,11580,2.43,21.4,117.65,170.99,494.74,1871.72,334.82,541.15,104233,3013.75
DE,DELAWARE,TRUE,2002,6637,FALSE,FALSE,805945,4836,26,358,,1154,3298,26967,5355,18555,3057,3.23,44.42,143.19,409.21,664.44,2302.27,379.31,823.51,31803,3946.05
FL,FLORIDA,FALSE,2002,75210,FALSE,FALSE,16691701,128721,911,6753,,32581,88476,777236,177242,511478,88516,5.46,40.46,195.19,530.06,1061.86,3064.27,530.3,450.58,905957,5427.59
GA,GEORGIA,FALSE,2002,47445,FALSE,FALSE,8544005,39271,606,2108,,13432,23125,346559,73932,234591,38036,7.09,24.67,157.21,270.66,865.31,2745.68,445.18,555.3,385830,4515.8
HI,HAWAII,TRUE,2002,5069,FALSE,FALSE,1240663,3262,24,372,,1210,1656,71976,12722,49344,9910,1.93,29.98,97.53,133.48,1025.42,3977.23,798.77,408.57,75238,6064.34
ID,IDAHO,FALSE,2002,5451,FALSE,FALSE,1343124,3419,36,497,,240,2646,39128,7441,29060,2627,2.68,37,17.87,197,554.01,2163.61,195.59,405.84,42547,3167.76
IL,ILLINOIS,FALSE,2002,42693,FALSE,TRUE,12586447,75759,961,4370,,25314,45114,430479,81440,304227,44812,7.64,34.72,201.12,358.43,647.05,2417.1,356.03,339.2,506238,4022.09
IN,INDIANA,FALSE,2002,20349,FALSE,FALSE,6156913,22001,362,1843,,6612,13184,208965,42605,146073,20287,5.88,29.93,107.39,214.13,691.99,2372.5,329.5,330.51,230966,3751.33
IA,IOWA,FALSE,2002,8398,FALSE,FALSE,2935840,8388,44,797,,1169,6378,92877,18643,68411,5823,1.5,27.15,39.82,217.25,635.01,2330.2,198.34,286.05,101265,3449.27
KS,KANSAS,FALSE,2002,8967,FALSE,FALSE,2711769,10229,78,1035,,2165,6951,100768,19679,73877,7212,2.88,38.17,79.84,256.33,725.69,2724.31,265.95,330.67,110997,4093.16
KY,KENTUCKY,FALSE,2002,11583,FALSE,TRUE,4089822,11101,191,1087,,3131,6692,108590,26891,72378,9321,4.67,26.58,76.56,163.63,657.51,1769.71,227.91,283.22,119691,2926.56
LA,LOUISIANA,FALSE,2002,20010,FALSE,FALSE,4476192,29690,593,1529,,7123,20445,198838,45350,133302,20186,13.25,34.16,159.13,456.75,1013.14,2978.02,450.96,447.03,228528,5105.41
ME,MAINE,FALSE,2002,1855,FALSE,FALSE,1294894,1396,14,377,,270,735,32985,6965,24591,1429,1.08,29.11,20.85,56.76,537.88,1899.07,110.36,143.25,34381,2655.12
MD,MARYLAND,FALSE,2002,24114,FALSE,FALSE,5450525,42015,513,1370,,13417,26715,217105,39765,143320,34020,9.41,25.14,246.16,490.14,729.56,2629.47,624.16,442.42,259120,4754.04
MA,MASSACHUSETTS,FALSE,2002,9879,FALSE,FALSE,6421800,31137,173,1777,,7169,22018,167753,33243,107922,26588,2.69,27.67,111.64,342.86,517.66,1680.56,414.03,153.84,198890,3097.11
MI,MICHIGAN,FALSE,2002,50591,FALSE,FALSE,10043221,54306,678,5364,,11847,36417,335060,70970,214367,49723,6.75,53.41,117.96,362.6,706.65,2134.44,495.09,503.73,389366,3876.9
MN,MINNESOTA,FALSE,2002,6855,FALSE,FALSE,5024791,13428,112,2273,,3937,7106,164026,28034,122150,13842,2.23,45.24,78.35,141.42,557.91,2430.95,275.47,136.42,177454,3531.57
MS,MISSISSIPPI,FALSE,2002,15355,FALSE,FALSE,2866733,9858,264,1127,,3356,5111,109584,29593,70468,9523,9.21,39.31,117.07,178.29,1032.29,2458.13,332.19,535.63,119442,4166.48
MO,MISSOURI,FALSE,2002,29795,FALSE,FALSE,5669544,30557,331,1465,,7024,21737,230520,42721,159921,27878,5.84,25.84,123.89,383.4,753.52,2820.7,491.72,525.53,261077,4604.9
MT,MONTANA,FALSE,2002,2870,FALSE,FALSE,910372,3197,16,237,,283,2661,28751,3289,23679,1783,1.76,26.03,31.09,292.3,361.28,2601.02,195.85,315.26,31948,3509.33
NE,NEBRASKA,FALSE,2002,4048,FALSE,FALSE,1727564,5428,48,464,,1359,3557,68178,10329,51440,6409,2.78,26.86,78.67,205.9,597.89,2977.6,370.98,234.32,73606,4260.68
NV,NEVADA,FALSE,2002,10101,FALSE,FALSE,2167455,13856,181,928,,5118,7629,83896,18951,47459,17486,8.35,42.82,236.13,351.98,874.34,2189.62,806.75,466.03,97752,4509.99
NH,NEW HAMPSHIRE,FALSE,2002,2475,FALSE,FALSE,1274405,2056,12,446,,413,1185,26250,4838,19468,1944,0.94,35,32.41,92.98,379.63,1527.61,152.54,194.21,28306,2221.11
NJ,NEW JERSEY,FALSE,2002,26301,FALSE,FALSE,8575252,32252,339,1365,,13955,16593,227715,43899,148061,35755,3.95,15.92,162.74,193.5,511.93,1726.61,416.96,306.71,259967,3031.6
NM,NEW MEXICO,FALSE,2002,5991,FALSE,FALSE,1852044,13719,152,1027,,2206,10334,80477,19634,53406,7437,8.21,55.45,119.11,557.98,1060.13,2883.62,401.56,323.48,94196,5086.06
NY,NEW YORK,FALSE,2002,66925,FALSE,FALSE,19134293,95030,909,3885,,36653,53583,442091,76700,318025,47366,4.75,20.3,191.56,280.04,400.85,1662.07,247.55,349.76,537121,2807.11
NC,NORTH CAROLINA,FALSE,2002,32918,FALSE,FALSE,8305820,39118,548,2196,,12205,24169,353708,99535,229307,24866,6.6,26.44,146.95,290.99,1198.38,2760.8,299.38,396.32,392826,4729.53
ND,NORTH DAKOTA,FALSE,2002,1117,FALSE,FALSE,633911,496,5,163,,58,270,14762,2243,11501,1018,0.79,25.71,9.15,42.59,353.84,1814.29,160.59,176.21,15258,2406.96
OH,OHIO,FALSE,2002,45284,FALSE,FALSE,11408699,40128,526,4809,,17871,16922,428976,99164,287045,42767,4.61,42.15,156.64,148.33,869.2,2516.02,374.86,396.93,469104,4111.81
OK,OKLAHOMA,FALSE,2002,21996,FALSE,FALSE,3489700,17587,163,1573,,2966,12885,148128,35171,100185,12772,4.67,45.08,84.99,369.23,1007.85,2870.88,365.99,630.31,165715,4748.69
OR,OREGON,FALSE,2002,11650,FALSE,FALSE,3520355,10298,72,1238,,2742,6246,161145,25696,118925,16524,2.05,35.17,77.89,177.43,729.93,3378.21,469.38,330.93,171443,4870.05
PA,PENNSYLVANIA,FALSE,2002,39724,FALSE,FALSE,12328827,49578,624,3731,,17163,28060,300868,55610,212441,32817,5.06,30.26,139.21,227.6,451.06,1723.12,266.18,322.2,350446,2842.49
RI,RHODE ISLAND,TRUE,2002,3473,FALSE,FALSE,1068326,3051,41,395,,916,1699,35342,6415,24051,4876,3.84,36.97,85.74,159.03,600.47,2251.28,456.41,325.09,38393,3593.75
SC,SOUTH CAROLINA,FALSE,2002,22896,FALSE,FALSE,4103770,33761,298,1959,,5774,25730,183808,43745,123196,16867,7.26,47.74,140.7,626.98,1065.97,3002.02,411.01,557.93,217569,5301.69
SD,SOUTH DAKOTA,FALSE,2002,2943,FALSE,FALSE,760437,1350,11,361,,117,861,15992,3034,12139,819,1.45,47.47,15.39,113.22,398.98,1596.32,107.7,387.01,17342,2280.53
TN,TENNESSEE,FALSE,2002,18297,FALSE,FALSE,5789796,41562,420,2290,,9413,29439,249399,61248,161610,26541,7.25,39.55,162.58,508.46,1057.86,2791.29,458.41,316.02,290961,5025.41
TX,TEXAS,FALSE,2002,152446,FALSE,FALSE,21736925,126018,1302,8508,,37580,78628,1004274,212602,688992,102680,5.99,39.14,172.89,361.73,978.07,3169.68,472.38,701.32,1130292,5199.87
UT,UTAH,FALSE,2002,4285,FALSE,FALSE,2318789,5488,47,943,,1140,3358,97641,15124,74795,7722,2.03,40.67,49.16,144.82,652.24,3225.61,333.02,184.79,103129,4447.54
VT,VERMONT,TRUE,2002,1361,FALSE,FALSE,616408,658,13,126,,77,442,14942,3489,10684,769,2.11,20.44,12.49,71.71,566.02,1733.27,124.76,220.8,15600,2530.79
VA,VIRGINIA,FALSE,2002,30937,FALSE,FALSE,7287829,21256,388,1839,,6961,12068,207783,31757,157548,18478,5.32,25.23,95.52,165.59,435.75,2161.8,253.55,424.5,229039,3142.76
WA,WASHINGTON,FALSE,2002,16263,FALSE,FALSE,6067060,20964,184,2734,,5797,12249,288967,54948,193526,40493,3.03,45.06,95.55,201.89,905.68,3189.78,667.42,268.05,309931,5108.42
WV,WEST VIRGINIA,FALSE,2002,3575,FALSE,FALSE,1804884,4221,57,328,,657,3179,41099,9677,27524,3898,3.16,18.17,36.4,176.13,536.16,1524.97,215.97,198.07,45320,2510.96
WI,WISCONSIN,FALSE,2002,21666,FALSE,FALSE,5439692,12238,154,1237,,4713,6134,164749,27926,123365,13458,2.83,22.74,86.64,112.76,513.37,2267.87,247.4,398.29,176987,3253.62
WY,WYOMING,FALSE,2002,1641,FALSE,FALSE,498830,1364,15,148,,93,1108,16494,2448,13303,743,3.01,29.67,18.64,222.12,490.75,2666.84,148.95,328.97,17858,3579.98
FED,FEDERAL,FALSE,2003,168144,,,290231356,1374615,16279,93609,0,410294,854433,10410166,2150163,7008683,1251320,5.61,32.25,141.37,294.4,740.84,2414.86,431.15,57.93,11784781,4060.48
AL,ALABAMA,FALSE,2003,27614,FALSE,FALSE,4503726,19331,299,1656,,6038,11338,182241,43245,124039,14957,6.64,36.77,134.07,251.75,960.2,2754.14,332.1,613.14,201572,4475.67
AK,ALASKA,TRUE,2003,4472,FALSE,FALSE,648280,3877,39,605,,446,2787,24386,3874,18051,2461,6.02,93.32,68.8,429.91,597.58,2784.44,379.62,689.83,28263,4359.69
AZ,ARIZONA,FALSE,2003,31084,FALSE,FALSE,5579222,28638,441,1856,,7619,18722,314335,58613,198725,56997,7.9,33.27,136.56,335.57,1050.56,3561.88,1021.59,557.14,342973,6147.33
AR,ARKANSAS,FALSE,2003,12068,FALSE,FALSE,2727774,12449,180,911,,2227,9131,99084,25016,68061,6007,6.6,33.4,81.64,334.74,917.08,2495.11,220.22,442.41,111533,4088.79
CA,CALIFORNIA,FALSE,2003,161785,FALSE,FALSE,35462712,205551,2407,9994,,63770,129380,1215086,242274,731486,241326,6.79,28.18,179.82,364.83,683.18,2062.69,680.51,456.21,1420637,4006
CO,COLORADO,FALSE,2003,19450,FALSE,FALSE,4547633,15757,185,1913,,3738,9921,179706,32394,124496,22816,4.07,42.07,82.2,218.16,712.33,2737.6,501.71,427.7,195463,4298.13
CT,CONNECTICUT,TRUE,2003,18023,FALSE,FALSE,3486960,11045,112,698,,4212,6023,92981,16043,65568,11370,3.21,20.02,120.79,172.73,460.09,1880.38,326.07,516.87,104026,2983.29
DE,DELAWARE,TRUE,2003,6630,FALSE,FALSE,818166,5525,21,370,,1441,3693,27943,6066,18933,2944,2.57,45.22,176.13,451.38,741.41,2314.08,359.83,810.35,33468,4090.61
FL,FLORIDA,FALSE,2003,79594,FALSE,FALSE,16999181,124280,924,6727,,31523,85106,757696,170644,505489,81563,5.44,39.57,185.44,500.65,1003.84,2973.61,479.81,468.22,881976,5188.34
GA,GEORGIA,FALSE,2003,47208,FALSE,FALSE,8676460,39435,657,2234,,14043,22501,369589,79001,247196,43392,7.57,25.75,161.85,259.33,910.52,2849.04,500.11,544.09,409024,4714.18
HI,HAWAII,TRUE,2003,5499,FALSE,FALSE,1248755,3400,22,367,,1168,1843,65867,11409,44807,9651,1.76,29.39,93.53,147.59,913.63,3588.13,772.85,440.36,69267,5546.88
ID,IDAHO,FALSE,2003,5558,FALSE,FALSE,1367034,3362,26,535,,245,2556,40042,7837,29559,2646,1.9,39.14,17.92,186.97,573.28,2162.27,193.56,406.57,43404,3175.05
IL,ILLINOIS,FALSE,2003,43418,FALSE,TRUE,12649087,70376,895,4189,,23786,41506,415885,78345,295907,41633,7.08,33.12,188.05,328.13,619.37,2339.35,329.14,343.25,486261,3844.24
IN,INDIANA,FALSE,2003,21345,FALSE,FALSE,6199571,21842,338,1720,,6401,13383,208039,41582,145686,20771,5.45,27.74,103.25,215.87,670.72,2349.94,335.04,344.3,229881,3708.01
IA,IOWA,FALSE,2003,8546,FALSE,FALSE,2941976,8175,50,796,,1131,6198,87554,17515,64400,5639,1.7,27.06,38.44,210.67,595.35,2189,191.67,290.49,95729,3253.9
KS,KANSAS,FALSE,2003,9168,FALSE,FALSE,2724786,10831,125,1085,,2247,7374,109276,21973,79471,7832,4.59,39.82,82.47,270.63,806.41,2916.6,287.44,336.47,120107,4407.94
KY,KENTUCKY,FALSE,2003,11660,FALSE,TRUE,4118189,10232,181,1124,,3224,5703,103370,26034,69083,8253,4.4,27.29,78.29,138.48,632.17,1677.51,200.4,283.13,113602,2758.54
LA,LOUISIANA,FALSE,2003,19498,FALSE,FALSE,4493665,28622,584,1601,,7008,19429,193698,44572,129471,19655,13,35.63,155.95,432.36,991.89,2881.19,437.39,433.9,222320,4947.41
ME,MAINE,FALSE,2003,1974,FALSE,FALSE,1309205,1422,16,354,,289,763,32078,6579,24043,1456,1.22,27.04,22.07,58.28,502.52,1836.46,111.21,150.78,33500,2558.8
MD,MARYLAND,FALSE,2003,23768,FALSE,FALSE,5512310,38778,525,1358,,13302,23593,209418,38641,134372,36405,9.52,24.64,241.31,428.01,700.99,2437.67,660.43,431.18,248196,4502.58
MA,MASSACHUSETTS,FALSE,2003,9828,FALSE,FALSE,6420357,30377,140,1848,,8011,20378,164543,34963,104069,25511,2.18,28.78,124.77,317.4,544.56,1620.92,397.35,153.08,194920,3035.97
MI,MICHIGAN,FALSE,2003,49358,FALSE,FALSE,10082364,51550,612,5470,,11254,34214,330565,68316,208538,53711,6.07,54.25,111.62,339.35,677.58,2068.34,532.72,489.55,382115,3789.93
MN,MINNESOTA,FALSE,2003,7569,FALSE,FALSE,5064172,13316,127,2092,,3906,7191,157663,27698,116216,13749,2.51,41.31,77.13,142,546.94,2294.87,271.5,149.46,170979,3376.25
MS,MISSISSIPPI,FALSE,2003,15863,FALSE,FALSE,2882594,9336,267,1079,,3016,4974,106867,29564,68307,8996,9.26,37.43,104.63,172.55,1025.6,2369.64,312.08,550.3,116203,4031.2
MO,MISSOURI,FALSE,2003,29864,FALSE,FALSE,5719204,28067,289,1400,,6686,19692,233564,41997,161616,29951,5.05,24.48,116.9,344.31,734.32,2825.85,523.69,522.17,261631,4574.61
MT,MONTANA,FALSE,2003,3053,FALSE,FALSE,918157,3351,30,246,,298,2777,28428,3722,22800,1906,3.27,26.79,32.46,302.45,405.38,2483.24,207.59,332.51,31779,3461.17
NE,NEBRASKA,FALSE,2003,4073,FALSE,FALSE,1737475,5105,56,504,,1165,3380,65189,10133,48924,6132,3.22,29.01,67.05,194.54,583.2,2815.81,352.93,234.42,70294,4045.76
NV,NEVADA,FALSE,2003,10584,FALSE,FALSE,2242207,13813,197,871,,5225,7520,96128,21958,53321,20849,8.79,38.85,233.03,335.38,979.3,2378.06,929.84,472.03,109941,4903.25
NH,NEW HAMPSHIRE,FALSE,2003,2427,FALSE,FALSE,1288705,1937,17,438,,480,1002,26456,4589,19934,1933,1.32,33.99,37.25,77.75,356.09,1546.82,150,188.33,28393,2203.22
